"","BillTrack.Link","State.Link"
"107","https://www.billtrack50.com/billdetail/1410619","http://iga.in.gov/static-documents/3/f/c/1/3fc14b76/HB1134.03.ENGH.FN001.pdf"
"108","https://www.billtrack50.com/billdetail/1410619","http://iga.in.gov/static-documents/4/4/4/d/444db694/HB1134.02.COMH.pdf"
"109","https://www.billtrack50.com/billdetail/1410619","http://iga.in.gov/static-documents/1/6/0/4/16042520/HB1134.02.COMH.FN001.pdf"
"110","https://www.billtrack50.com/billdetail/1410619","http://iga.in.gov/static-documents/4/e/d/0/4ed0eec5/HB1134.01.INTR.pdf"
"111","https://www.billtrack50.com/billdetail/1410619","http://iga.in.gov/static-documents/b/b/0/5/bb055c47/HB1134.01.INTR.FN001.pdf"
"112","https://www.billtrack50.com/billdetail/1411668","http://iga.in.gov/static-documents/a/5/0/4/a504f35e/HB1228.01.INTR.pdf"
"113","https://www.billtrack50.com/billdetail/1411668","http://iga.in.gov/static-documents/2/8/9/9/289900e2/HB1228.01.INTR.FN001.pdf"
"114","https://www.billtrack50.com/billdetail/1407002","http://iga.in.gov/static-documents/3/3/f/9/33f91890/SB0034.01.INTR.pdf"
"115","https://www.billtrack50.com/billdetail/1407002","http://iga.in.gov/static-documents/f/0/0/8/f008cca4/SB0034.01.INTR.FN001.pdf"
"116","https://www.billtrack50.com/billdetail/1416729","http://iga.in.gov/static-documents/e/7/c/4/e7c4d7e9/SB0402.01.INTR.pdf"
"117","https://www.billtrack50.com/billdetail/1416729","http://iga.in.gov/static-documents/3/3/5/0/3350e5ae/SB0402.01.INTR.FN001.pdf"
"118","https://www.billtrack50.com/billdetail/1416938","http://iga.in.gov/static-documents/6/5/8/1/6581b584/SB0415.01.INTR.pdf"
"119","https://www.billtrack50.com/billdetail/1416938","http://iga.in.gov/static-documents/4/d/3/a/4d3a57c8/SB0415.01.INTR.FN001.pdf"
"120","https://www.billtrack50.com/billdetail/1283132","https://www.legis.iowa.gov/docs/publications/LGI/89/HF184.pdf"
"121","https://www.billtrack50.com/billdetail/1283150","https://www.legis.iowa.gov/docs/publications/LGI/89/HF187.pdf"
"122","https://www.billtrack50.com/billdetail/1282900","https://www.legis.iowa.gov/docs/publications/LGI/89/HF193.pdf"
"123","https://www.billtrack50.com/billdetail/1292627","https://www.legis.iowa.gov/docs/publications/LGI/89/HF272.pdf"
"124","https://www.billtrack50.com/billdetail/1298520","https://www.legis.iowa.gov/docs/publications/LGI/89/HF334.pdf"
"125","https://www.billtrack50.com/billdetail/1299057","https://www.legis.iowa.gov/docs/publications/LGI/89/HF340.pdf"
"126","https://www.billtrack50.com/billdetail/1299119","https://www.legis.iowa.gov/docs/publications/LGI/89/HF341.pdf"
